<PAD>	0
<GO>	1
<EOS>	2
<UNK>	3
<SEP>	4
不	5
人	6
一	7
风	8
山	9
无	10
来	11
花	12
春	13
有	14
日	15
天	16
中	17
时	18
年	19
何	20
是	21
云	22
得	23
知	24
自	25
上	26
水	27
月	28
如	29
生	30
未	31
处	32
今	33
归	34
雨	35
家	36
为	37
相	38
头	39
清	40
江	41
见	42
此	43
君	44
去	45
更	46
心	47
看	48
老	49
里	50
事	51
明	52
行	53
寒	54
长	55
秋	56
三	57
夜	58
万	59
白	60
下	61
前	62
青	63
声	64
尽	65
玉	66
子	67
在	68
作	69
千	70
到	71
诗	72
与	73
似	74
香	75
开	76
东	77
西	78
谁	79
间	80
南	81
新	82
空	83
已	84
门	85
多	86
红	87
欲	88
深	89
我	90
落	91
飞	92
十	93
道	94
高	95
雪	96
金	97
只	98
却	99
成	100
黄	101
闲	102
流	103
满	104
可	105
莫	106
出	107
入	108
身	109
酒	110
烟	111
客	112
几	113
须	114
向	115
过	116
回	117
小	118
犹	119
从	120
应	121
枝	122
平	123
地	124
将	125
重	126
书	127
梅	128
尘	129
能	130
光	131
分	132
边	133
意	134
两	135
还	136
梦	137
当	138
古	139
阳	140
草	141
半	142
溪	143
石	144
百	145
朝	146
城	147
好	148
色	149
路	150
林	151
然	152
笑	153
仙	154
世	155
曾	156
眼	157
旧	158
后	159
愁	160
独	161
树	162
名	163
亦	164
楼	165
问	166
竹	167
衣	168
同	169
公	170
醉	171
湖	172
游	173
真	174
又	175
情	176
柳	177
龙	178
马	179
五	180
叶	181
外	182
阴	183
绿	184
海	185
吹	186
闻	187
少	188
大	189
难	190
起	191
碧	192
松	193
华	194
安	195
思	196
先	197
便	198
数	199
初	200
著	201
宫	202
晚	203
别	204
方	205
故	206
窗	207
四	208
王	209
北	210
正	211
翠	212
望	213
若	214
台	215
霜	216
断	217
坐	218
说	219
非	220
岁	221
留	222
随	223
轻	224
儿	225
气	226
寻	227
余	228
州	229
听	230
二	231
舟	232
神	233
峰	234
晴	235
画	236
言	237
歌	238
桃	239
手	240
物	241
语	242
复	243
晓	244
传	245
亭	246
残	247
波	248
识	249
面	250
野	251
